scenario_id,latency_gemini-1.5-flash,latency_gemini-1.5-flash-8b,latency_meta-llama/Llama-3.2-1B-Instruct,latency_meta-llama/Llama-3.2-3B-Instruct,latency_Qwen/Qwen2.5-7B-Instruct-1M_x,latency_Qwen/Qwen2.5-7B-Instruct-1M_y,latency_Qwen/Qwen2.5-7B-Instruct-1M,latency_Qwen/Qwen2.5-14B-Instruct-1M
1,1.0675,0.6992,34.2381,307.6538,6.1899,1.4585,1.5306,3.3527
2,0.8291,0.6098,28.367,72.2339,1.2254,1.2815,1.3261,3.8599
3,1.0413,0.6689,67.3479,167.8065,1.6889,1.6107,1.6264,3.5547
4,0.9119,0.8874,58.6784,109.3427,2.0605,1.3691,1.4124,3.8468
5,0.7887,0.7238,68.2764,197.2377,1.485,1.6628,1.3919,3.8627
6,0.8499,1.5145,51.2373,308.0219,1.5962,1.4349,1.3132,3.3068
7,0.8245,0.7486,58.0922,100.1984,1.5551,1.2847,1.2576,3.1712
8,0.7957,0.8664,26.1165,35.3295,1.1277,1.3505,1.2234,2.9284
9,0.8312,1.1769,20.5559,307.9999,1.4423,1.4709,1.3883,3.0214
10,0.8596,0.6769,48.7347,68.4058,1.8574,1.6372,1.5521,3.8314
11,0.8266,0.5893,20.0522,307.3463,1.6729,1.1547,1.2025,4.1483
12,0.7674,0.8584,106.9969,22.3152,1.6824,1.6813,1.4595,2.9479
13,0.8815,0.7532,64.5739,98.8459,1.3554,1.5515,1.4275,3.428
14,0.7386,0.743,36.4557,308.5584,1.7424,1.515,1.5112,3.3202
15,0.6663,0.6745,26.8143,81.5009,1.098,1.3637,1.5141,3.9037
16,0.7675,1.0129,42.229,286.0024,1.595,1.2938,1.6262,4.3419
17,0.8475,0.979,24.619,307.3575,1.3891,1.5318,1.7174,3.7428
18,0.7467,0.9115,29.074,93.3255,1.1902,1.3831,1.3841,2.9749
19,0.7731,1.1342,51.9764,307.7301,1.6037,1.6413,1.4517,3.2219
20,0.8632,0.839,45.5745,123.0737,1.8086,1.7056,1.6292,3.2323
21,0.6753,1.1085,42.1206,102.2098,1.255,1.6124,1.4695,3.7586
22,0.6756,0.6165,27.4643,36.5328,1.1047,1.4456,1.8039,3.3718
23,0.7528,0.803,39.7925,195.0462,1.215,1.7434,1.47,3.2882
24,0.7735,0.7498,116.7965,32.1618,1.4785,1.3117,1.228,3.5571
25,0.6949,0.9925,73.1593,254.6842,1.8337,1.4758,1.9046,4.3615
26,0.6532,0.5829,108.5836,220.2881,1.5818,1.7697,1.3805,3.3964
27,0.8221,1.0582,34.6934,102.9224,1.6176,1.4215,1.2499,3.307
28,0.8297,0.8729,21.1943,309.9594,1.773,1.9162,1.7955,3.5115
29,0.7446,0.7154,116.4297,102.9868,1.307,1.5518,1.3764,3.9305
30,0.856,0.7289,68.9781,165.9251,1.6774,1.5459,1.5164,2.7205
31,0.6906,0.9085,27.1691,307.7848,1.4723,1.271,1.2789,3.2401
32,0.8418,0.5597,30.3381,309.5635,1.5084,1.9869,1.317,3.6965
33,0.7951,0.6459,27.6375,94.7647,1.2637,1.568,1.3883,3.3673
34,0.6491,0.5852,40.704,82.6698,1.5962,1.1624,1.2401,3.5371
35,0.6471,0.5506,24.26,308.5314,1.6735,1.3451,1.5381,3.2339
36,0.6476,1.552,74.7716,104.1224,1.1907,1.6798,1.5927,3.457
37,0.7086,0.6443,108.2022,307.4053,1.1894,1.457,1.0766,3.2444
38,0.7303,0.6606,22.2826,101.4062,1.4295,1.5,1.4438,3.3055
39,0.6827,0.6846,34.2258,197.5768,1.5391,1.5865,1.3364,3.8501
40,0.638,0.5288,32.6382,288.858,1.4116,1.1449,1.3603,3.2999
41,0.7223,0.491,116.2694,307.8118,1.485,1.7869,1.094,2.981
